Wall time,Step,Value
1701552422.7686987,12295,7.464996997441631e-06
1701552423.156699,12311,2.192105785070453e-05
1701552424.0397034,12344,9.144770046987105e-06
1701552424.2687109,12353,5.51813764104736e-06
1701552425.3046985,12397,1.2954302292200737e-05
1701552425.8016996,12417,1.4892284525558352e-05
1701552425.871699,12420,1.3341310477699153e-05
1701552426.2576995,12436,1.4682272194477264e-05
1701552426.6616995,12452,8.206551865441725e-05
1701552428.372699,12523,4.8029134632088244e-05
1701552428.5936997,12532,7.678674592170864e-05
1701552429.31971,12563,8.648888615425676e-05
1701552429.8007014,12582,3.089122401433997e-05
1701552429.8776987,12585,1.2198307558719534e-05
1701552430.3987017,12607,1.7760854461812414e-05
1701552431.9426994,12672,1.9992197849205695e-05
1701552432.1287,12680,1.2966547728865407e-05
1701552432.6136994,12701,9.214986675942782e-06
1701552433.1347003,12723,1.0893702892644797e-05
1701552433.816702,12752,2.6193760277237743e-05
1701552434.9087043,12798,1.8138447558158077e-05
1701552435.5887117,12826,3.79312077711802e-05
1701552436.9757037,12885,2.0911038518534042e-05
1701552437.341702,12901,3.9974605897441506e-05
1701552438.1176996,12932,5.535770469577983e-05
1701552438.8276987,12961,3.7875572161283344e-05
1701552439.4467,12986,7.996460044523701e-05
1701552439.572699,12991,3.5452201700536534e-05
1701552439.8936996,13004,9.370344923809171e-05
1701552440.1946986,13017,6.219399074325338e-05
1701552440.3526988,13023,3.2861458748811856e-05
1701552441.382699,13065,5.286184205033351e-06
1701552441.4077036,13066,4.56811039839522e-06
1701552441.8997009,13086,4.930065188091248e-06
1701552443.3456998,13144,8.127609362418298e-06
1701552443.740699,13161,4.133118636673316e-06
1701552444.3986995,13188,2.575814278316102e-06
1701552444.420699,13189,1.8680534594750497e-06
1701552444.6127002,13197,3.555180228431709e-06
1701552444.900706,13209,3.941788691008696e-06
1701552445.2026997,13221,2.7557787234400166e-06
